"sample","group","Ctla4","melanogenesis_score"
"4_166__EPG","Control",6.31546250185424,12.8070815157087
"20_173__EPG","Other",8.60176215871599,8.93424171448225
"14_149__EPG","Responder",7.82316382060184,7.61614625224352
"18_165__EPG","Responder",8.20040161523133,9.30201991964489
"5_168__EPG","Control",6.94039766105464,12.7138523946994
"16_161__EPG","Responder",8.54660651089652,8.00217594434915
"2_146__EPG","Control",6.48463767677678,12.529194830841
"9_150__EPG","Responder",8.04989778049752,9.5322651325255
"1_145__EPG","Control",6.35967008860387,13.0860485212532
"21_136__EPG","Other",8.36974412349492,8.9208739946387
"13_142__EPG","Responder",8.39219726753373,8.73560866030613
"12_140__EPG","Responder",7.50289715863723,8.33221636623055
"6_138__EPG","Responder",6.62459930180769,12.5697905394626
"22_137__EPG","Other",8.31565552401933,7.70544098299447
"8_143__EPG","Responder",7.56408276027666,9.72285573351966
"15_160__EPG","Responder",7.87137133744361,8.62316817079804
"19_169__EPG","Responder",7.99035374047336,8.93500512122556
"25_158__EPG","Other",8.24209054063705,8.73172333507898
"7_139__EPG","Responder",7.29118993880085,10.0777218523057
"17_163__EPG","Responder",8.58521687537948,9.56087289420818
"24_167__EPG","Other",7.98912945135026,8.693568828539
"23_155__EPG","Other",8.19020548223232,8.72569089426962
"11_172__EPG","Responder",7.19857595275891,12.0806596870175
"10_162__EPG","Responder",7.18765545420151,11.4142939721161
"3_152__EPG","Control",6.23908893990221,12.5989526249668
