"gene_id","gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000026011.13_Ctla4","Ctla4",148.276826196666,3.28397982392182,0.443443325901073,7.40563592258108,1.30523472981714e-13,1.09621203336841e-11
"ENSMUSG00000025359.10_Pmel","Pmel",10295.9671654231,-7.51602230923344,1.15407200413203,-6.51261124290609,7.38554794376728e-11,2.97988615843585e-09
"ENSMUSG00000022129.4_Dct","Dct",31442.4021143532,-8.30632255972745,1.38721212920298,-5.98778109336446,2.12723099889242e-09,5.89112661067167e-08
"ENSMUSG00000004651.6_Tyr","Tyr",4447.38381861569,-7.66983337693506,1.30594244177683,-5.87302558794221,4.27912393013216e-09,1.08857971172127e-07
"ENSMUSG00000035158.15_Mitf","Mitf",3451.75435535616,-2.37592457438143,0.432360671301559,-5.4952374998148,3.90184937704404e-08,7.63755215071214e-07
"ENSMUSG00000005994.14_Tyrp1","Tyrp1",12805.6839916708,-5.09819898486832,0.936229039484342,-5.44546128122272,5.16713026338217e-08,9.73574488130018e-07
"ENSMUSG00000024806.4_Mlana","Mlana",958.852157475471,-5.83995949351278,1.15445351786019,-5.05863545232841,4.22267249012413e-07,6.1318071892152e-06
"ENSMUSG00000033006.10_Sox10","Sox10",4489.59884663587,-1.05632259461474,0.221987135906384,-4.75848562260928,1.95050782610216e-06,2.34973689488319e-05
"ENSMUSG00000074037.3_Mc1r","Mc1r",619.074652134067,-2.70065703403905,0.569109399495175,-4.74540929465345,2.08085144684418e-06,2.49533598314215e-05
"ENSMUSG00000025333.10_Gpr143","Gpr143",90.6024048923838,-6.53871379646832,1.4102177678367,-4.63666955955238,3.54067760405513e-06,3.95927329435513e-05
"ENSMUSG00000005672.12_Kit","Kit",387.167685106794,-0.0816035263583301,0.196013893886898,-0.41631501084008,0.677179509831403,0.813879975464828
